url,geometry
https://patch.com/feeds/aol/california/scottsvalley,POINT (-122.0117 37.0555)
https://patch.com/feeds/aol/california/shermanoaks,POINT (-118.4438 34.1593)
https://patch.com/feeds/aol/california/sierramadre,POINT (-118.0506 34.1687)
https://patch.com/feeds/aol/california/sonomavalley,POINT (-122.495 38.3134)
https://patch.com/feeds/aol/california/southgate-lynwood,POINT (-118.1924 33.9447)
https://patch.com/feeds/aol/california/southpasadena,POINT (-118.1574 34.1101)
https://patch.com/feeds/aol/california/southsanfrancisco,POINT (-122.4199 37.6534)
https://patch.com/feeds/aol/california/studiocity,POINT (-118.3916 34.1396)
https://patch.com/feeds/aol/california/suisuncity,POINT (-122.0077 38.2473)
https://patch.com/feeds/aol/california/temecula,POINT (-117.1226 33.5011)
https://patch.com/feeds/aol/california/trabuco-canyon,POINT (-117.587 33.6655)
https://patch.com/feeds/aol/california/unioncity,POINT (-122.0188 37.6027)
https://patch.com/feeds/aol/california/venice,POINT (-118.4445 34.0069)
https://patch.com/feeds/aol/california/walnutcreek,POINT (-122.0409 37.9019)
https://patch.com/feeds/aol/california/watsonville,POINT (-121.7504 36.9391)
https://patch.com/feeds/aol/california/westhollywood,POINT (-118.372 34.0882)
https://patch.com/feeds/aol/california/centurycity,POINT (-118.4341 34.0616)
https://patch.com/feeds/aol/california/woodlandhills,POINT (-118.6061 34.1686)
https://patch.com/feeds/aol/colorado/across-co,POINT (-104.9915 39.742)
https://patch.com/feeds/aol/colorado/arvada,POINT (-105.0875 39.8028)
https://patch.com/feeds/aol/colorado/boulder,POINT (-105.2705 40.015)
https://patch.com/feeds/aol/colorado/broomfield,POINT (-105.0867 39.9205)
https://patch.com/feeds/aol/colorado/colorado-springs,POINT (-104.8214 38.8339)
https://patch.com/feeds/aol/colorado/denver,POINT (-104.9903 39.7392)
https://patch.com/feeds/aol/colorado/golden,POINT (-105.2211 39.7555)
https://patch.com/feeds/aol/colorado/lakewood-co,POINT (-105.0814 39.7047)
https://patch.com/feeds/aol/colorado/littleton,POINT (-105.0166 39.6133)
https://patch.com/feeds/aol/connecticut/across-ct,POINT (-73.1952 41.1865)
https://patch.com/feeds/aol/connecticut/avon,POINT (-72.8536 41.7907)
https://patch.com/feeds/aol/connecticut/berlin,POINT (-72.77589999999999 41.6114)
https://patch.com/feeds/aol/connecticut/bethel,POINT (-73.39319999999999 41.375)
https://patch.com/feeds/aol/connecticut/bethwood,POINT (-73.0012 41.3931)
https://patch.com/feeds/aol/connecticut/branford,POINT (-72.7993 41.2856)
https://patch.com/feeds/aol/connecticut/bridgeport,POINT (-73.1956 41.1864)
https://patch.com/feeds/aol/connecticut/brookfield,POINT (-73.3922 41.4673)
https://patch.com/feeds/aol/connecticut/canton-ct,POINT (-72.9083 41.86)
https://patch.com/feeds/aol/connecticut/cheshire,POINT (-72.9037 41.5113)
https://patch.com/feeds/aol/connecticut/clinton,POINT (-72.5301 41.2983)
https://patch.com/feeds/aol/connecticut/danbury,POINT (-73.471 41.4017)
https://patch.com/feeds/aol/connecticut/darien,POINT (-73.4819 41.0791)
https://patch.com/feeds/aol/connecticut/durham,POINT (-72.69540000000001 41.4822)
https://patch.com/feeds/aol/connecticut/easthampton-ct,POINT (-72.5414 41.5813)
https://patch.com/feeds/aol/connecticut/easthaven,POINT (-72.8578 41.2982)
https://patch.com/feeds/aol/connecticut/ellington-somers,POINT (-72.43380000000001 41.9554)
https://patch.com/feeds/aol/connecticut/enfield,POINT (-72.5547 41.9839)
https://patch.com/feeds/aol/connecticut/fairfield,POINT (-73.2736 41.1777)
https://patch.com/feeds/aol/connecticut/farmington,POINT (-72.8408 41.7288)
https://patch.com/feeds/aol/connecticut/glastonbury,POINT (-72.5471 41.6922)
https://patch.com/feeds/aol/connecticut/granby-eastgranby,POINT (-72.8058 41.9643)
https://patch.com/feeds/aol/connecticut/hartford,POINT (-72.6743 41.7627)
https://patch.com/feeds/aol/connecticut/greenwich,POINT (-73.6371 41.0675)
https://patch.com/feeds/aol/connecticut/groton,POINT (-72.0437 41.3533)
https://patch.com/feeds/aol/connecticut/guilford,POINT (-72.70050000000001 41.3315)
https://patch.com/feeds/aol/connecticut/hamden,POINT (-72.92140000000001 41.3961)
https://patch.com/feeds/aol/connecticut/ledyard,POINT (-72.0167 41.44)
https://patch.com/feeds/aol/connecticut/madison-ct,POINT (-72.6281 41.3401)
https://patch.com/feeds/aol/connecticut/manchester,POINT (-72.52419999999999 41.7754)
https://patch.com/feeds/aol/connecticut/mansfield,POINT (-72.2308 41.787)
https://patch.com/feeds/aol/connecticut/meriden,POINT (-72.79430000000001 41.5367)
https://patch.com/feeds/aol/connecticut/middletown-ct,POINT (-72.65479999999999 41.5477)
https://patch.com/feeds/aol/connecticut/milford,POINT (-73.0621 41.2257)
https://patch.com/feeds/aol/connecticut/monroe,POINT (-73.2251 41.3378)
https://patch.com/feeds/aol/connecticut/montville-ct,POINT (-72.1571 41.4634)
https://patch.com/feeds/aol/connecticut/naugatuck,POINT (-73.0517 41.489)
https://patch.com/feeds/aol/connecticut/newcanaan,POINT (-73.4992 41.1592)
https://patch.com/feeds/aol/connecticut/newhaven,POINT (-72.92359999999999 41.31)
https://patch.com/feeds/aol/connecticut/newlondon,POINT (-72.10250000000001 41.3507)
https://patch.com/feeds/aol/connecticut/newmilford,POINT (-73.4059 41.5836)
https://patch.com/feeds/aol/connecticut/newington,POINT (-72.73 41.6872)
https://patch.com/feeds/aol/connecticut/newtown,POINT (-73.29300000000001 41.3987)
